row,question,ground_truth,answer_preview,faithfulness,answer_relevancy,context_precision,context_recall,factual_correctness
78,What is the role of extracellular signal-related kinases 1 and 2 (ERK1/2) proteins in craniosynostosis?,"Reduced dosage of ERF, which encodes an inhibitory ETS transcription factor directly bound by ERK1/2 causes complex craniosynostosis (premature fusion of the cranial sutures) in humans and mice. Featu","Extracellular signal-related kinases 1 and 2 (ERK1/2) directly bind to ERF, an inhibitory ETS transcription factor. Reduced dosage of ERF causes complex craniosynostosis. ERF is identified as a novel ",1.0,0.8483331997807108,0.9999999999,1.0,0.36
79,Are there any urine biomarkers for chronic kidney disease?,"Chronic kidney disease (CKD), is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally ","Yes, there are urine biomarkers for chronic kidney disease (CKD).

The provided context mentions the following urine biomarkers:
*   **Urine proteomic biomarkers** are considered promising diagnostic ",1.0,0.9231959951496996,0.0,0.2,0.0
80,What is being measured with an accelerometer in back pain patients,"Accelerometer assessment measuring overall physical activity (PAL), constant strain postures (CSP), standing time (ST) and lying time (LT)...
The following parameters of physical activity were recorde","An accelerometer is used to measure physical activity in daily life, body movement, overall physical activity (PAL), constant strain postures (CSP), standing time (ST), and lying time (LT) in back pai",1.0,0.9223395477952269,0.999999999975,0.5,0.71
81,List the releases of JASPAR database,"JASPAR, JASPAR CORE, JASPAR FAM, JASPAR phyloFACTS, JASPAR 2008 update, JASPAR 2010, JASPAR 2014.","The releases of the JASPAR database mentioned in the context are:
*   Third major release
*   Fifth major release",0.5,0.8692706493995092,0.0,0.2857142857142857,0.0
82,List symptoms of the IFAP syndrome.,"The IFAP syndrome is a rare X-linked genetic disorder characterized by the triad of follicular ichthyosis, atrichia, and photophobia.","Symptoms of the IFAP syndrome include:

*   Ichthyosis follicularis (or follicular ichthyosis)
*   Absence of hair (also described as atrichia, noncicatricial universal alopecia, or generalized alopec",1.0,0.9392867720289676,0.999999999975,1.0,0.25
83,Which gene is required for the efficient function of clopidogrel?,The prodrug clopidogrel requires activation by cytochrome P-450 (CYP) enzymes for its antiplatelet effect. Variability in clopidogrel response might be influenced by polymorphisms in genes coding for ,"The P2Y12 gene, which codes for the target receptor protein for clopidogrel, and the CYP2C19 gene, which codes for a drug metabolism enzyme, are required for the efficient function of clopidogrel. Var",0.7142857142857143,0.9613668409686357,0.6388888888675925,1.0,0.29
84,Is valproic acid effective for glioblastoma treatment?,"Yes, valproic acid prolong survival of glioblastoma patients. Valproic acid is an antiepileptic agent with histone deacetylase inhibitor activity shown to sensitize glioblastoma cells to radiation in ","Yes, valproic acid (VPA) is effective for glioblastoma treatment.

*   A meta-analysis confirmed the benefit of using VPA, suggesting that glioblastoma patients may experience prolonged survival due t",0.8888888888888888,1.0,0.9999999999666667,0.5,0.46
85,Which transcription factor is considered as a master regulator of lysosomal genes?,"Transcription factor EB (TFEB) is a master regulator of lysosomal biogenesis and autophagy, driving lysosome adaptation to environmental cues, such as starvation, and therefore targeting of TFEB may p",Transcription Factor EB (TFEB) is considered a master regulator of lysosomal genes.,1.0,0.5305972691874586,0.999999999975,1.0,0.4
86,Which antibiotics target peptidoglycan biosynthesis?,"Under some conditions, both ramoplanin and vancomycin probes produce helicoid staining patterns along the cylindrical walls of B. subtilis cells. This work has implications for the design of ramoplani","Based on the provided context, the following antibiotics target peptidoglycan biosynthesis:

*   Mersacidin
*   Vancomycin
*   Fosfomycin
*   Ampicillin
*   Muraymycins",1.0,1.0,0.49999999995,0.0,0.0
87,Can Levoxyl (levothyroxine sodium) cause insomnia?,Levoxyl monotherapy is associated with increased insomnia compared to a combination of levothyroxine and liothyronine.,The provided context does not explicitly state that Levoxyl (levothyroxine sodium) can cause insomnia. While one source mentions a reduction in anxiety/insomnia in a combined treatment group compared ,1.0,0.9878600039997091,0.9999999999,1.0,0.86
88,Is fatigue prevalent in patients receiving treatment for glioblastoma?,"Yes, fatigue is a common complication of glioblastoma patients receiving chemotherapy or radiotherapy.","Yes, fatigue is prevalent in patients receiving treatment for glioblastoma.

Several studies indicate this:
*   Fatigue is a commonly reported side effect in patients with glioblastoma relapse treated",1.0,1.0,0.999999999975,1.0,0.29
89,List two common features of Tay syndrome.,Tay syndrome is a rare autosomal recessive genetic disorder characterized by congenital ichthyosis and trichothiodystrophy (abnormal brittle hair). Other less common features of this syndrome are phot,Two common features of Tay syndrome are congenital ichthyosis and abnormal brittle hair (trichothiodystrophy).,1.0,0.9744758844161662,0.9999999999666667,0.5,0.33
90,Which cell types are known to be driving Rheumatoid Arthritis?,"Macrophages, T cells and their respective cytokines play a pivotal role in RA. Rheumatoid arthritis synovial fibroblasts (RASFs) constitute a quite unique cell type that distinguishes RA from other in","The cell types known to be driving Rheumatoid Arthritis (RA) include macrophages, T cells (specifically regulatory T cells and CD4 memory T cells), and resident, fibroblast-like cells, also referred t",1.0,0.9713774659068924,0.9999999999,1.0,0.5
91,What is the association between personality trait of neuroticism and risk for Alzheimer's disease?,High neuroticism is associated with increased risk to develop Alzheimer's disease. Greater neuroticism is also associated more advanced Alzheimer's disease neuropathology and younger age of dementia o,"Elevated Neuroticism is associated with an increased risk of Alzheimer's disease (AD). This association is supported by findings that elevated Neuroticism is linked to AD risk, and that higher levels ",1.0,0.8155866414204832,0.999999999975,0.6666666666666666,0.53
92,What is the mode of action of everolimus?,Everolimus is a drug that binds to mTORC1 and inhibits activation of the mTOR signalling pathway. It is used in targeted cancer therapy protocols or after transplantation for maintenance immunosuppres,"Everolimus, also known as RAD001, is an inhibitor of the mammalian target of rapamycin (mTOR). It interacts with mTOR and acts on the signaling pathway PI3K/AKT/mTOR. Specifically, it inhibits the Akt",1.0,0.8208811772779475,0.8055555555287036,1.0,0.31
93,Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?,"Yes, mutations in the DNA that affect the splicing pattern of genes have been linked in transcriptome population studies to a number of diseases.","Yes, quantitative trait loci (QTLs) affecting splicing have been linked to disease.

Specifically, cis-regulated expression quantitative trait loci (eQTLs) have been identified as potential susceptibi",0.75,0.8901663470024849,0.9999999999,0.0,0.0
94,Which technique is used for detection of EWS/FLI1 fusion transcripts?,Molecular detection of EWS-FLI1 chimeric transcripts in Ewing family tumors is carried out by reverse transcription-polymerase chain reaction (RT-PCR).,"The technique used for the detection of EWS/FLI1 fusion transcripts is Reverse Transcriptase-Polymerase Chain Reaction (RT-PCR). Specifically, some studies employed a nested RT-PCR-based assay, while ",1.0,0.9901848926186075,0.999999999975,1.0,0.5
95,Does the CTCF protein co-localize with cohesin?,"Recent genome-wide studies mapping the binding sites of CTCF and its interacting partner, cohesin, using chromatin immunoprecipitation coupled with deep sequencing (ChIP-seq) revealded that CTCF globa","Yes, the CTCF protein globally co-localizes with cohesin. This co-localization has been observed in genome-wide studies and at specific imprinted loci like H19/Igf2, Dlk1-Dio3, and Kcnq1/Kcnq1ot1. Con",1.0,0.9999999999999997,0.9999999999666667,1.0,0.57
96,What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?,Bimolecular fluorescence complementation (BiFC) is a powerful method for studying protein-protein interactions in different cell types and organisms. This method was recently developed in the fruit fl,The Bimolecular Fluorescence Complementation (BiFC) assay is applied in Drosophila embryos for the study of protein interactions in living cells. It is used to reveal and study protein interactions in,1.0,0.9764773305367865,0.9999999999666667,1.0,0.25
97,Which pathological condition of the heart is known as hypertrophic cardiomyopathy (HCM)?,"Hypertrophic cardiomyopathy (HCM) has been recently recognized as the most common inherited cardiovascular disorder, affecting 1 in 500 adults worldwide. HCM is characterized by myocyte hypertrophy re","Hypertrophic cardiomyopathy (HCM) is a primary disease of the cardiac muscle, a clinically heterogeneous autosomal dominant heart disease, and the most common inherited cardiovascular disorder. It is ",1.0,0.8811859661260034,0.999999999975,1.0,0.53
98,What is the genetic basis of Rubinstein-Taybi syndrome?,"Rubinstein-Taybi syndrome (RTS) is a rare autosomal dominant disorder (prevalence 1:125,000) characterised by broad thumbs and halluces, facial dysmorphism, psychomotor development delay, skeletal def","Rubinstein-Taybi syndrome (RTS) is an autosomal dominant genetic disorder. It is associated with the disruption of the CREB-binding protein gene (CBP), also known as CREBBP, which is located on chromo",1.0,0.8697564958859957,0.8055555555287036,0.75,0.57
99,What is the function of the viral KP4 protein?,The virally encoded fungal toxin KP4  specifically blocks L-type voltage-gated calcium channels.,The viral Killer protein 4 (KP4) is a toxin that kills sensitive *Ustilago* strains and inhibits *Fusarium* and plant root growth by inhibiting calcium uptake. It also has an antifungal effect against,0.7777777777777778,0.8847618590910077,0.9999999999,0.0,0.2
